Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160309;4086;SG;Batum, Nicolas;1;28.7;$6,700;cha;H;nor;122;113;41.30;15pt 6rb 5as 1to 2trey 6-13fg 1-1ft
20160309;3571;SG;Wade, Dwyane;1;28.6;$7,700;mia;A;mil;108;114;33.92;18pt 3rb 6as 2st 6to 6-14fg 6-6ft
20160309;3814;PG;Williams, Deron;1;27.5;$5,600;dal;H;det;96;102;37.17;8pt 5rb 9as 1bl 2to 1trey 3-13fg 1-2ft
20160309;4315;PG;Smith, Ishmael;1;26.9;$6,800;phi;H;hou;104;118;35.48;21pt 2rb 5as 1st 6to 2trey 9-18fg 1-1ft
20160309;4110;SG;Lee, Courtney;1;26.7;$3,500;cha;H;nor;122;113;29.08;16pt 6rb 1as 1st 4trey 6-12fg
20160309;4367;SG;Thompson, Klay;1;26.7;$7,100;gsw;H;uta;115;94;30.15;23pt 1rb 1as 1st 1to 5trey 9-14fg
20160309;4088;PG;Chalmers, Mario;1;26.5;$5,300;mem;A;bos;96;116;21.82;11pt 5rb 5as 1st 1bl 2to 1trey 1-7fg 8-8ft
20160309;4873;PG;Grant, Jerian;;25.6;$3,500;nyk;A;pho;128;97;27.80;14pt 3rb 4as 2st 2to 6-9fg 2-2ft
20160309;4788;SG;Richardson, Josh;;25.4;$3,500;mia;A;mil;108;114;24.37;14pt 2rb 2as 2st 1bl 3trey 4-6fg 3-4ft
20160309;4735;SG;Galloway, Langston;;25.2;$3,500;nyk;A;pho;128;97;24.08;8pt 6rb 4as 2bl 2trey 3-8fg
20160309;4377;PG;Mack, Shelvin;1;23.8;$3,900;uta;A;gsw;94;115;27.82;7pt 4rb 8as 2st 4to 1trey 3-9fg
20160309;3116;SG;Crawford, Jamal;;23.6;$4,900;lac;A;okc;108;120;26.57;16pt 3rb 2as 1st 1to 2trey 6-12fg 2-2ft
20160309;4178;PG;Douglas, Toney;;23.2;$3,500;nor;A;cha;113;122;37.48;16pt 1rb 4as 1bl 2to 3trey 6-14fg 1-1ft
20160309;3669;SG;Smith, J.R.;1;23;$4,500;cle;A;sac;120;111;28.02;15pt 5rb 1st 3trey 6-13fg
20160309;3872;PG;Rondo, Rajon;1;22.6;$8,500;sac;H;cle;111;120;37.20;11pt 3rb 6as 1to 1trey 5-14fg
20160309;3789;PG;Price, Ronnie;1;22;$3,900;pho;H;nyk;97;128;34.15;11pt 6as 2st 2to 3trey 4-7fg
20160309;4269;SG;Bradley, Avery;1;21.9;$5,200;bos;H;mem;116;96;36.48;15pt 2rb 3as 3trey 6-14fg
20160309;4369;PG;Jackson, Reggie;1;21.8;$6,900;det;A;dal;102;96;29.27;11pt 4rb 4as 2trey 4-13fg 1-3ft
20160309;4092;PG;Dragic, Goran;1;21.6;$6,800;mia;A;mil;108;114;36.23;10pt 3rb 6as 1to 4-9fg 2-2ft
20160309;3054;PG;Terry, Jason;;21.1;$3,500;hou;A;phi;118;104;27.77;10pt 3rb 3as 2st 1to 3trey 3-6fg 1-1ft
20160309;3619;SG;Allen, Tony;1;21;$4,500;mem;A;bos;96;116;26.62;12pt 5rb 2as 2st 4to 4-9fg 4-6ft
